Bid Number,RA Number,Items,Quantity Required,Ministry,Department,Start Date,End Date,Bid Link
GEM/2025/B/6275147,GEM/2025/R/546948,"Fabrication, Assembly and Wiring of A Line Type Modulator",1,Ministry of Electronics and Information Technology,Department of Electronics and Information Technology,17-09-2025 15:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/7889385
GEM/2025/B/6499648,GEM/2025/R/547031,"Online UPS (V2),Online UPS (V2)",2,Ministry of Home Affairs,Central Police Organisation,17-09-2025 17:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/8142313
GEM/2024/B/5557298,GEM/2025/R/544570,Custom Bid for Services - ----,1,Ministry of Power,Grid Controller of India Limited,12-09-2025 17:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/7081412
GEM/2025/B/6588068,GEM/2025/R/546441,ROUGH M/CD FORGING FOR VALVE CONE (HW-289.92) -- ITEM AS PER DRG. HW-289.92. F WITH MATL. HW19390 R,2,Ministry of Heavy Industries and Public Enterprises,Department of Heavy Industry,16-09-2025 16:00,18-09-2025 17:33,https://bidplus.gem.gov.in/showbidDocument/8242483
GEM/2025/B/6623660,GEM/2025/R/546991,Second Hand Empty Gunny Bags(V2),19600,Ministry of Consumer Affairs Food and Public Distribution,Department of Food and Public Distribution,17-09-2025 16:00,18-09-2025 17:26,https://bidplus.gem.gov.in/showbidDocument/8283075
GEM/2025/B/6562228,GEM/2025/R/546981,Custom Bid for Services - Rene...,1,Ministry of Finance,Department of Financial Services,17-09-2025 16:00,18-09-2025 17:26,https://bidplus.gem.gov.in/showbidDocument/8213123
GEM/2025/B/6634454,GEM/2025/R/547022,Paper-based Printing Services - Printing with Material; Answer Book; Offset,30000,Technical Education Department Haryana,,17-09-2025 17:00,18-09-2025 17:27,https://bidplus.gem.gov.in/showbidDocument/8295572
GEM/2025/B/6532794,GEM/2025/R/546953,Office Suite Software (V3),280,Ministry of Education,Department of Higher Education,17-09-2025 15:00,18-09-2025 17:29,https://bidplus.gem.gov.in/showbidDocument/8179937
GEM/2025/B/6342083,GEM/2025/R/547042,PLAIN GRINDING WHEEL SIZE 150 x 13 x 15.88 MM,8851,Ministry of Defence,Department of Defence Production,17-09-2025 17:00,18-09-2025 17:29,https://bidplus.gem.gov.in/showbidDocument/7964025
GEM/2025/B/6394845,GEM/2025/R/546952,Stationary Lead Acid Batteries (with Tubular Positive Plates) in Monobloc Containers as per IS 1336,500,Ministry of Heavy Industries and Public Enterprises,Department of Heavy Industry,17-09-2025 15:00,18-09-2025 17:30,https://bidplus.gem.gov.in/showbidDocument/8023724
GEM/2025/B/6275147,GEM/2025/R/546948,"Fabrication, Assembly and Wiring of A Line Type Modulator",1,Ministry of Electronics and Information Technology,Department of Electronics and Information Technology,17-09-2025 15:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/7889385
GEM/2025/B/6499648,GEM/2025/R/547031,"Online UPS (V2),Online UPS (V2)",2,Ministry of Home Affairs,Central Police Organisation,17-09-2025 17:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/8142313
GEM/2024/B/5557298,GEM/2025/R/544570,Custom Bid for Services - ----,1,Ministry of Power,Grid Controller of India Limited,12-09-2025 17:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/7081412
GEM/2025/B/6588068,GEM/2025/R/546441,ROUGH M/CD FORGING FOR VALVE CONE (HW-289.92) -- ITEM AS PER DRG. HW-289.92. F WITH MATL. HW19390 R,2,Ministry of Heavy Industries and Public Enterprises,Department of Heavy Industry,16-09-2025 16:00,18-09-2025 17:33,https://bidplus.gem.gov.in/showbidDocument/8242483
GEM/2025/B/6623660,GEM/2025/R/546991,Second Hand Empty Gunny Bags(V2),19600,Ministry of Consumer Affairs Food and Public Distribution,Department of Food and Public Distribution,17-09-2025 16:00,18-09-2025 17:26,https://bidplus.gem.gov.in/showbidDocument/8283075
GEM/2025/B/6562228,GEM/2025/R/546981,Custom Bid for Services - Rene...,1,Ministry of Finance,Department of Financial Services,17-09-2025 16:00,18-09-2025 17:26,https://bidplus.gem.gov.in/showbidDocument/8213123
GEM/2025/B/6634454,GEM/2025/R/547022,Paper-based Printing Services - Printing with Material; Answer Book; Offset,30000,Technical Education Department Haryana,,17-09-2025 17:00,18-09-2025 17:27,https://bidplus.gem.gov.in/showbidDocument/8295572
GEM/2025/B/6532794,GEM/2025/R/546953,Office Suite Software (V3),280,Ministry of Education,Department of Higher Education,17-09-2025 15:00,18-09-2025 17:29,https://bidplus.gem.gov.in/showbidDocument/8179937
GEM/2025/B/6275147,GEM/2025/R/546948,"Fabrication, Assembly and Wiring of A Line Type Modulator",1,Ministry of Electronics and Information Technology,Department of Electronics and Information Technology,17-09-2025 15:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/7889385
GEM/2025/B/6499648,GEM/2025/R/547031,"Online UPS (V2),Online UPS (V2)",2,Ministry of Home Affairs,Central Police Organisation,17-09-2025 17:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/8142313
GEM/2024/B/5557298,GEM/2025/R/544570,Custom Bid for Services - ----,1,Ministry of Power,Grid Controller of India Limited,12-09-2025 17:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/7081412
GEM/2025/B/6550525,GEM/2025/R/545528,"Internet Bandwidth and Replication Service - Internet Leased Line; Goverment Service provider, Priv",1,Education Department Gujarat,,14-09-2025 13:00,18-09-2025 17:33,https://bidplus.gem.gov.in/showbidDocument/8199632
GEM/2025/B/6548024,GEM/2025/R/547038,Computer Printer (V2),3,Ministry of Home Affairs,Central Police Organisation,17-09-2025 17:00,18-09-2025 17:33,https://bidplus.gem.gov.in/showbidDocument/8196782
GEM/2025/B/6248334,GEM/2025/R/546917,Procurement of AFC 11-AC-107 of AVU unit with duplex metallurgy at Mathura Refinery,8,Ministry of Petroleum and Natural Gas,INDIAN OIL CORPORATION LIMITED,17-09-2025 14:00,18-09-2025 17:33,https://bidplus.gem.gov.in/showbidDocument/7859594
GEM/2025/B/6623660,GEM/2025/R/546991,Second Hand Empty Gunny Bags(V2),19600,Ministry of Consumer Affairs Food and Public Distribution,Department of Food and Public Distribution,17-09-2025 16:00,18-09-2025 17:26,https://bidplus.gem.gov.in/showbidDocument/8283075
GEM/2025/B/6562228,GEM/2025/R/546981,Custom Bid for Services - Rene...,1,Ministry of Finance,Department of Financial Services,17-09-2025 16:00,18-09-2025 17:26,https://bidplus.gem.gov.in/showbidDocument/8213123
GEM/2025/B/6634454,GEM/2025/R/547022,Paper-based Printing Services - Printing with Material; Answer Book; Offset,30000,Technical Education Department Haryana,,17-09-2025 17:00,18-09-2025 17:27,https://bidplus.gem.gov.in/showbidDocument/8295572
GEM/2025/B/6532794,GEM/2025/R/546953,Office Suite Software (V3),280,Ministry of Education,Department of Higher Education,17-09-2025 15:00,18-09-2025 17:29,https://bidplus.gem.gov.in/showbidDocument/8179937
GEM/2025/B/6275147,GEM/2025/R/546948,"Fabrication, Assembly and Wiring of A Line Type Modulator",1,Ministry of Electronics and Information Technology,Department of Electronics and Information Technology,17-09-2025 15:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/7889385
GEM/2025/B/6499648,GEM/2025/R/547031,"Online UPS (V2),Online UPS (V2)",2,Ministry of Home Affairs,Central Police Organisation,17-09-2025 17:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/8142313
GEM/2024/B/5557298,GEM/2025/R/544570,Custom Bid for Services - ----,1,Ministry of Power,Grid Controller of India Limited,12-09-2025 17:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/7081412
GEM/2025/B/6550525,GEM/2025/R/545528,"Internet Bandwidth and Replication Service - Internet Leased Line; Goverment Service provider, Priv",1,Education Department Gujarat,,14-09-2025 13:00,18-09-2025 17:33,https://bidplus.gem.gov.in/showbidDocument/8199632
GEM/2025/B/6548024,GEM/2025/R/547038,Computer Printer (V2),3,Ministry of Home Affairs,Central Police Organisation,17-09-2025 17:00,18-09-2025 17:33,https://bidplus.gem.gov.in/showbidDocument/8196782
GEM/2025/B/6550174,GEM/2025/R/547039,PERSONAL LAPTOP,4,Ministry of Defence,Department of Military Affairs,17-09-2025 17:00,18-09-2025 17:33,https://bidplus.gem.gov.in/showbidDocument/8199231
GEM/2025/B/6623660,GEM/2025/R/546991,Second Hand Empty Gunny Bags(V2),19600,Ministry of Consumer Affairs Food and Public Distribution,Department of Food and Public Distribution,17-09-2025 16:00,18-09-2025 17:26,https://bidplus.gem.gov.in/showbidDocument/8283075
GEM/2025/B/6562228,GEM/2025/R/546981,Custom Bid for Services - Rene...,1,Ministry of Finance,Department of Financial Services,17-09-2025 16:00,18-09-2025 17:26,https://bidplus.gem.gov.in/showbidDocument/8213123
GEM/2025/B/6634454,GEM/2025/R/547022,Paper-based Printing Services - Printing with Material; Answer Book; Offset,30000,Technical Education Department Haryana,,17-09-2025 17:00,18-09-2025 17:27,https://bidplus.gem.gov.in/showbidDocument/8295572
GEM/2025/B/6532794,GEM/2025/R/546953,Office Suite Software (V3),280,Ministry of Education,Department of Higher Education,17-09-2025 15:00,18-09-2025 17:29,https://bidplus.gem.gov.in/showbidDocument/8179937
GEM/2025/B/6275147,GEM/2025/R/546948,"Fabrication, Assembly and Wiring of A Line Type Modulator",1,Ministry of Electronics and Information Technology,Department of Electronics and Information Technology,17-09-2025 15:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/7889385
GEM/2025/B/6499648,GEM/2025/R/547031,"Online UPS (V2),Online UPS (V2)",2,Ministry of Home Affairs,Central Police Organisation,17-09-2025 17:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/8142313
GEM/2024/B/5557298,GEM/2025/R/544570,Custom Bid for Services - ----,1,Ministry of Power,Grid Controller of India Limited,12-09-2025 17:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/7081412
GEM/2025/B/6550525,GEM/2025/R/545528,"Internet Bandwidth and Replication Service - Internet Leased Line; Goverment Service provider, Priv",1,Education Department Gujarat,,14-09-2025 13:00,18-09-2025 17:33,https://bidplus.gem.gov.in/showbidDocument/8199632
GEM/2025/B/6550174,GEM/2025/R/547039,PERSONAL LAPTOP,4,Ministry of Defence,Department of Military Affairs,17-09-2025 17:00,18-09-2025 17:33,https://bidplus.gem.gov.in/showbidDocument/8199231
GEM/2025/B/6539667,GEM/2025/R/546978,"Webbing Nylon 44 mm 1815 Kg Steel Grey,Webbing Nylon 44 mm 1000 Kgf Steel Grey",4994,Ministry of Defence,Department of Defence Production,17-09-2025 15:00,18-09-2025 17:34,https://bidplus.gem.gov.in/showbidDocument/8187533
GEM/2025/B/6623660,GEM/2025/R/546991,Second Hand Empty Gunny Bags(V2),19600,Ministry of Consumer Affairs Food and Public Distribution,Department of Food and Public Distribution,17-09-2025 16:00,18-09-2025 17:26,https://bidplus.gem.gov.in/showbidDocument/8283075
GEM/2025/B/6562228,GEM/2025/R/546981,Custom Bid for Services - Rene...,1,Ministry of Finance,Department of Financial Services,17-09-2025 16:00,18-09-2025 17:26,https://bidplus.gem.gov.in/showbidDocument/8213123
GEM/2025/B/6634454,GEM/2025/R/547022,Paper-based Printing Services - Printing with Material; Answer Book; Offset,30000,Technical Education Department Haryana,,17-09-2025 17:00,18-09-2025 17:27,https://bidplus.gem.gov.in/showbidDocument/8295572
GEM/2025/B/6532794,GEM/2025/R/546953,Office Suite Software (V3),280,Ministry of Education,Department of Higher Education,17-09-2025 15:00,18-09-2025 17:29,https://bidplus.gem.gov.in/showbidDocument/8179937
GEM/2025/B/6275147,GEM/2025/R/546948,"Fabrication, Assembly and Wiring of A Line Type Modulator",1,Ministry of Electronics and Information Technology,Department of Electronics and Information Technology,17-09-2025 15:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/7889385
GEM/2025/B/6499648,GEM/2025/R/547031,"Online UPS (V2),Online UPS (V2)",2,Ministry of Home Affairs,Central Police Organisation,17-09-2025 17:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/8142313
GEM/2024/B/5557298,GEM/2025/R/544570,Custom Bid for Services - ----,1,Ministry of Power,Grid Controller of India Limited,12-09-2025 17:00,18-09-2025 17:32,https://bidplus.gem.gov.in/showbidDocument/7081412
GEM/2025/B/6550525,GEM/2025/R/545528,"Internet Bandwidth and Replication Service - Internet Leased Line; Goverment Service provider, Priv",1,Education Department Gujarat,,14-09-2025 13:00,18-09-2025 17:33,https://bidplus.gem.gov.in/showbidDocument/8199632
GEM/2025/B/6550174,GEM/2025/R/547039,PERSONAL LAPTOP,4,Ministry of Defence,Department of Military Affairs,17-09-2025 17:00,18-09-2025 17:33,https://bidplus.gem.gov.in/showbidDocument/8199231
GEM/2025/B/6539667,GEM/2025/R/546978,"Webbing Nylon 44 mm 1815 Kg Steel Grey,Webbing Nylon 44 mm 1000 Kgf Steel Grey",4994,Ministry of Defence,Department of Defence Production,17-09-2025 15:00,18-09-2025 17:34,https://bidplus.gem.gov.in/showbidDocument/8187533
